Analysis name,Health_condition,Host,Organism
MP_Muscle1,death,Manis pentadactyla,Muscle
MJ_Lung1,death,Manis javanica,Lung
MJ_Lung2,death,Manis javanica,Lung
MJ_Lung3,death,Manis javanica,Lung
MJ_Lung4,death,Manis javanica,Lung
MJ_Lung5,death,Manis javanica,Lung
MJ_Lung6,death,Manis javanica,Lung
MJ_Lung7,death,Manis javanica,Lung
MJ_Lung8,death,Manis javanica,Lung
MJ_Lung9,death,Manis javanica,Lung
MJ_Lung10,death,Manis javanica,Lung
MJ_Lung11,death,Manis javanica,Lung
MJ_Lung12,death,Manis javanica,Lung
MJ_Lung13,death,Manis javanica,Lung
MJ_Lung14,death,Manis javanica,Lung
MJ_Lung15,death,Manis javanica,Lung
MJ_Lung16,death,Manis javanica,Lung
MJ_Skin1,death,Manis javanica,Skin
MJ_Lung23,death,Manis javanica,Lung
MJ_Lung24,death,Manis javanica,Lung
MJ_Lung25,death,Manis javanica,Lung
MJ_Lung28,death,Manis javanica,Lung
MJ_Lung31,death,Manis javanica,Lung
MJ_Lung26,death,Manis javanica,Lung
MJ_Lung29,death,Manis javanica,Lung
MJ_Spleen27,death,Manis javanica,Spleen
MJ_Lung32,death,Manis javanica,Lung
MJ_Spleen24,death,Manis javanica,Spleen
MJ_Spleen25,death,Manis javanica,Spleen
MJ_Spleen31,death,Manis javanica,Spleen
MJ_Spleen29,death,Manis javanica,Spleen
MJ_Spleen32,death,Manis javanica,Spleen
MJ_Spleen30,death,Manis javanica,Spleen
MJ_Spleen33,death,Manis javanica,Spleen
MJ_LymphA33,death,Manis javanica,Lymph
MJ_Lymph33,death,Manis javanica,Lymph
MJ_Lung27,death,Manis javanica,Lung
MJ_Lung30,death,Manis javanica,Lung
MJ_Lung33,death,Manis javanica,Lung
MJ_Lung19,death,Manis javanica,Lung
MJ_Lung20,death,Manis javanica,Lung
MJ_Lung17,death,Manis javanica,Lung
MP_Lung1,death,Manis pentadactyla,Lung
MJ_Lung21,death,Manis javanica,Lung
MJ_Lung22,death,Manis javanica,Lung
MP_Lung2,death,Manis pentadactyla,Lung
MJ_Lung18,death,Manis javanica,Lung
MJ_Mix4,death,Manis javanica,MMM
MJ_Mix5,death,Manis javanica,MMM
MJ_Mix6,death,Manis javanica,MMM
MJ_Mix3,death,Manis javanica,MMM
MJ_Mix9,death,Manis javanica,MMM
MP_Mix5,death,Manis pentadactyla,MMM
MP_Fecal1,death,Manis pentadactyla,Fecal
MJ_Mix1,death,Manis javanica,MMM
MP_Fecal2,death,Manis pentadactyla,Fecal
MP_Mix2,death,Manis pentadactyla,MMM
MP_Mix1,death,Manis pentadactyla,MMM
MP_Mix4,death,Manis pentadactyla,MMM
MJ_Mix7,death,Manis javanica,MMM
MJ_Mix8,death,Manis javanica,MMM
MJ_Mix2,death,Manis javanica,MMM
UN_MBA_190999_211227,healthy,Manis javanica,Anal
UN_MBA_191000_211227,healthy,Manis javanica,Anal
UN_MBA_191001_211227,healthy,Manis javanica,Anal
UN_MBA_191002_211227,healthy,Manis javanica,Anal
UN_MBA_191003_211227,healthy,Manis javanica,Anal
UN_MBA_191004_211227,healthy,Manis javanica,Anal
UN_MBA_191005_211227,healthy,Manis javanica,Anal
UN_MBA_191006_211227,healthy,Manis javanica,Anal
UN_MBA_191007_211227,healthy,Manis javanica,Anal
UN_MBA_191008_211227,healthy,Manis javanica,Anal
UN_MBA_191009_211227,healthy,Manis javanica,Anal
UN_MBA_191010_211227,healthy,Manis javanica,Anal
UN_MBA_191011_211227,healthy,Manis javanica,Anal
UN_MBA_191020_211229,healthy,Manis javanica,Anal
UN_MBA_191021_211229,healthy,Manis javanica,Anal
UN_MBA_191022_211229,healthy,Manis javanica,Anal
UN_MBA_191023_211229,healthy,Manis javanica,Anal
UN_MBA_191024_211229,healthy,Manis javanica,Anal
UN_MBA_191025_211229,healthy,Manis javanica,Anal
UN_MBA_191026_211229,healthy,Manis javanica,Anal
UN_MBA_191027_211229,healthy,Manis javanica,Anal
UN_MBA_191028_220105,healthy,Manis javanica,Anal
UN_MBA_191029_220105,healthy,Manis javanica,Anal
UN_MBA_191030_220105,healthy,Manis javanica,Anal
UN_MBA_191031_220105,healthy,Manis javanica,Anal
UN_MBA_191032_220105,healthy,Manis javanica,Anal
UN_MBA_191033_220105,healthy,Manis javanica,Anal
