Health,sample,Type,Host,Family,Genus,Species,rpm,coverage,lg_rpm_1
Unhealthy,MJ_Lung10,Lung,Manis javanica,Pneumoviridae,Orthopneumovirus,Orthopneumovirus hominis,1341.02,100,3.127758988
Unhealthy,MJ_Lung12,Lung,Manis javanica,Flaviviridae,Pestivirus,Pestivirus P121T,1.98474,98.5084,0.474906506
Unhealthy,MJ_Lung13,Lung,Manis javanica,Pneumoviridae,Orthopneumovirus,Orthopneumovirus hominis,310.637,100,2.493649015
Unhealthy,MJ_Lung16,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,66.5275,100,1.829480672
Unhealthy,MJ_Lung16,Lung,Manis javanica,Pneumoviridae,Orthopneumovirus,Orthopneumovirus hominis,125.174,100,2.100969871
Unhealthy,MJ_Lung17,Lung,Manis javanica,Anelloviridae,Tettorquevirus,Tettorquevirus sp,34.4961,100,1.550180639
Unhealthy,MJ_Lung17,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,4.32758,99.664,0.72652998
Unhealthy,MJ_Lung17,Lung,Manis javanica,Paramyxoviridae,Orthorubulavirus,Orthorubulavirus mammalis,3.02905,99.6916,0.605202657
Unhealthy,MJ_Lung18,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,323.337,100,2.510996495
Unhealthy,MJ_Lung19,Lung,Manis javanica,Paramyxoviridae,Respirovirus,Pangolin respirovirus,9.57421,100,1.024247931
Unhealthy,MJ_Lung1,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,39.8567,99.9913,1.611263286
Unhealthy,MJ_Lung20,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,38.7519,99.9833,1.599357891
Unhealthy,MJ_Lung20,Lung,Manis javanica,Paramyxoviridae,Respirovirus,Pangolin respirovirus,109.793,99.81,2.044512322
Unhealthy,MJ_Lung24,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,9.48736,98.7444,1.020666176
Unhealthy,MJ_Lung25,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,34.6307,99.6768,1.551824355
Unhealthy,MJ_Lung26,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,1.41763,94.2278,0.383389836
Unhealthy,MJ_Lung26,Lung,Manis javanica,Paramyxoviridae,Respirovirus,Pangolin respirovirus,13.3887,100,1.158021558
Unhealthy,MJ_Lung27,Lung,Manis javanica,Paramyxoviridae,Respirovirus,Pangolin respirovirus,3564.36,100,3.552103388
Unhealthy,MJ_Lung27,Lung,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,40.2016,97.9774,1.614914082
Unhealthy,MJ_Lung28,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,1.82647,100,0.45124438
Unhealthy,MJ_Lung28,Lung,Manis javanica,Paramyxoviridae,Respirovirus,Pangolin respirovirus,415.163,99.9546,2.619263466
Unhealthy,MJ_Lung29,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,332.681,100,2.523331478
Unhealthy,MJ_Lung29,Lung,Manis javanica,Paramyxoviridae,Respirovirus,Pangolin respirovirus,597.133,99.8495,2.776797764
Unhealthy,MJ_Lung30,Lung,Manis javanica,Paramyxoviridae,Respirovirus,Pangolin respirovirus,96.5432,99.9606,1.989196999
Unhealthy,MJ_Lung31,Lung,Manis javanica,Paramyxoviridae,Respirovirus,Pangolin respirovirus,130.948,99.9934,2.120402812
Unhealthy,MJ_Lung33,Lung,Manis javanica,Paramyxoviridae,Respirovirus,Pangolin respirovirus,2.4017,100,0.53169601
Unhealthy,MJ_Lung3,Lung,Manis javanica,Pneumoviridae,unclassified Pneumoviridae genus,Pangolin respiratory syncytial virus A,9.30426,100,1.013016808
Unhealthy,MJ_Lung4,Lung,Manis javanica,Paramyxoviridae,Respirovirus,Respirovirus pneumoniae,77.0467,100,1.892354545
Unhealthy,MJ_Lung4,Lung,Manis javanica,Pneumoviridae,Orthopneumovirus,Orthopneumovirus hominis,651.695,100,2.814710286
Unhealthy,MJ_Lung5,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,560.749,100,2.749542308
Unhealthy,MJ_Lung5,Lung,Manis javanica,Paramyxoviridae,Respirovirus,Respirovirus pneumoniae,1.51891,100,0.401212651
Unhealthy,MJ_Lung5,Lung,Manis javanica,Pneumoviridae,Orthopneumovirus,Orthopneumovirus hominis,101.027,99.9603,2.008715117
Unhealthy,MJ_Lung6,Lung,Manis javanica,Pneumoviridae,Orthopneumovirus,Orthopneumovirus hominis,460.626,100,2.664290261
Unhealthy,MJ_Lung7,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,78.9748,100,1.902953163
Unhealthy,MJ_Lung7,Lung,Manis javanica,Pneumoviridae,unclassified Pneumoviridae genus,Pangolin respiratory syncytial virus A,384.95,100,2.586531045
Unhealthy,MJ_Lung8,Lung,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,10.3307,99.9325,1.054256741
Unhealthy,MJ_Lung8,Lung,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin parvovirus,2.42728,100,0.534949587
Unhealthy,MJ_Lymph33,Lymph,Manis javanica,Parvoviridae,Copiparvovirus,Copiparvovirus P229T,30.3378,100,1.496068505
Unhealthy,MJ_Lymph33,Lymph,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,33.4324,99.9805,1.536967295
Unhealthy,MJ_LymphA33,Lymph,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,7.58277,100,0.933627475
Unhealthy,MJ_LymphA33,Lymph,Manis javanica,Picornaviridae,Hunnivirus,Pangolin hunnivirus,144.547,99.9778,2.163003258
Unhealthy,MJ_Mix2,MMM,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus 3,1370.87,100,3.137312959
Unhealthy,MJ_Mix2,MMM,Manis javanica,Paramyxoviridae,Orthorubulavirus,Orthorubulavirus laryngotracheitidis,12.8701,100,1.142079592
Unhealthy,MJ_Mix2,MMM,Manis javanica,Picornaviridae,Hunnivirus,Pangolin hunnivirus,5.34994,100,0.802769622
Unhealthy,MJ_Mix3,MMM,Manis javanica,Paramyxoviridae,Orthorubulavirus,Orthorubulavirus laryngotracheitidis,67256.9,100,4.827743303
Unhealthy,MJ_Mix3,MMM,Manis javanica,Picornaviridae,Hunnivirus,Pangolin hunnivirus,27.0251,100,1.447547171
Unhealthy,MJ_Mix3,MMM,Manis javanica,Pneumoviridae,Orthopneumovirus,Orthopneumovirus muris,8723.83,100,3.940756974
Unhealthy,MJ_Mix6,MMM,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus 2,96.8919,100,1.990746758
Unhealthy,MJ_Mix6,MMM,Manis javanica,Paramyxoviridae,Orthorubulavirus,Orthorubulavirus laryngotracheitidis,19.0478,100,1.302066721
Unhealthy,MJ_Mix6,MMM,Manis javanica,Picornaviridae,Hunnivirus,Pangolin hunnivirus,125754,100,5.099525262
Unhealthy,MJ_Mix7,MMM,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus 4,22.6306,100,1.373474749
Unhealthy,MJ_Mix7,MMM,Manis javanica,Picornaviridae,Hunnivirus,Pangolin hunnivirus,1569.12,100,3.195932846
Unhealthy,MJ_Mix8,MMM,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus 3,4.04924,100,0.703226014
Unhealthy,MJ_Mix8,MMM,Manis javanica,Paramyxoviridae,Orthorubulavirus,Orthorubulavirus laryngotracheitidis,60.0338,100,1.78557041
Unhealthy,MJ_Mix8,MMM,Manis javanica,Picornaviridae,Hunnivirus,Pangolin hunnivirus,12.2997,100,1.123841845
Unhealthy,MJ_Mix9,MMM,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus 2,93.5153,99.9586,1.975502117
Unhealthy,MJ_Mix9,MMM,Manis javanica,Paramyxoviridae,Orthorubulavirus,Orthorubulavirus laryngotracheitidis,297845,100,5.473991772
Unhealthy,MJ_Mix9,MMM,Manis javanica,Picornaviridae,Hunnivirus,Pangolin hunnivirus,3.13648,100,0.616630929
Unhealthy,MJ_Skin1,Skin,Manis javanica,Paramyxoviridae,Respirovirus,Pangolin respirovirus,93.0487,99.6637,1.973352797
Unhealthy,MJ_Spleen27,Spleen,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,1.92922,99.8839,0.466751991
Unhealthy,MP_Fecal2,Fecal,Manis pentadactyla,Circoviridae,Circovirus,Circovirus sp,23.6012,100,1.390956292
Unhealthy,MP_Lung1,Lung,Manis pentadactyla,Circoviridae,Cyclovirus,Cyclovirus sp,7.75125,100,0.942070091
Unhealthy,MP_Lung2,Lung,Manis pentadactyla,Paramyxoviridae,Orthorubulavirus,Orthorubulavirus mammalis,49.3323,99.9516,1.701846777
Unhealthy,MP_Lung2,Lung,Manis pentadactyla,Picornaviridae,Senecavirus,Senecavirus sp,5.16238,100,0.789748475
Unhealthy,MP_Mix1,MMM,Manis pentadactyla,Paramyxoviridae,Orthorubulavirus,Orthorubulavirus laryngotracheitidis,13.4423,100,1.159636362
Unhealthy,MP_Mix1,MMM,Manis pentadactyla,Parvoviridae,Protoparvovirus,Protoparvovirus carnivoran1,18.2218,99.9561,1.283794054
Unhealthy,MP_Mix1,MMM,Manis pentadactyla,Picornaviridae,Hunnivirus,Pangolin hunnivirus,3.95228,100,0.694805192
Unhealthy,MP_Mix5,MMM,Manis pentadactyla,Flaviviridae,Pestivirus,Pangolin pestivirus 1,13.5653,100,1.163319434
Unhealthy,MP_Mix5,MMM,Manis pentadactyla,Parvoviridae,Protoparvovirus,Protoparvovirus carnivoran1,29.0005,99.0872,1.477128493
Healthy,UN_7D11_4O,Oral,Manis javanica,Circoviridae,unclassified Circoviridae genus,Circoviridae sp,3.25874,100,0.629281127
Healthy,UN_7D11_4O,Oral,Manis javanica,Parvoviridae,Protoparvovirus,Pangolin protoparvovirus,29.4297,100,1.483297671
Healthy,UN_7D11_4O,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin parvovirus,1.1355,97.1161,0.329499576
Healthy,UN_7D7_2A,Anal,Manis javanica,Circoviridae,unclassified Circoviridae genus,Fringilla montifringilla Circoviridae sp,280.899,100,2.450093535
Healthy,UN_7D7_2A,Anal,Manis javanica,Parvoviridae,Copiparvovirus,Copiparvovirus P171T,16.1137,99.9441,1.233343915
