sample,Organism,Host,Species
UN_7D11_4O,Healthy,Manis javanica,Fringilla montifringilla Circoviridae sp.
UN_7D11_4O,Healthy,Manis javanica,Pangolin protoparvovirus
UN_7D11_4O,Healthy,Manis javanica,Pangolin parvovirus
UN_7D7_2,Healthy,Manis javanica,Fringilla montifringilla Circoviridae sp.
UN_7D7_2,Healthy,Manis javanica,Copiparvovirus P171T
UN_7D7_2,Healthy,Manis javanica,Pangolin protoparvovirus
UN_7D7_2,Healthy,Manis javanica,Densovirinae sp.
UN_7D7_2,Healthy,Manis javanica,Hunnivirus P236T
190999,Healthy,Manis javanica,Manis javanica papillomavirus 1
191001,Healthy,Manis javanica,Densovirinae sp.
191002,Healthy,Manis javanica,Pangolin densovirus A1
191003,Healthy,Manis javanica,Densovirinae sp.
191004,Healthy,Manis javanica,Pangolin densovirus A1
191005,Healthy,Manis javanica,Pangolin parvovirus B1
191005,Healthy,Manis javanica,Pangolin circovirus B3
191007,Healthy,Manis javanica,Pangolin densovirus A1
191007,Healthy,Manis javanica,Pangolin circovirus B1
191009,Healthy,Manis javanica,Pangolin circovirus B3
191009,Healthy,Manis javanica,Densovirinae sp.
191010,Healthy,Manis javanica,Pangolin circovirus B1
191010,Healthy,Manis javanica,Pangolin densovirus A1
191013,Healthy,Manis javanica,Densovirinae sp.
191015,Healthy,Manis javanica,Pangolin circovirus A3
191015,Healthy,Manis javanica,Densovirinae sp.
191016,Healthy,Manis javanica,Densovirinae sp.
191017,Healthy,Manis javanica,Pangolin densovirus A1
191018,Healthy,Manis javanica,Pangolin circovirus A2
191019,Healthy,Manis javanica,Pangolin densovirus T2
191021,Healthy,Manis javanica,Pangolin densovirus A1
191023,Healthy,Manis javanica,Pangolin circovirus B1
191023,Healthy,Manis javanica,Pangolin circovirus B3
191024,Healthy,Manis javanica,Morbillivirus canis
191024,Healthy,Manis javanica,Rhinolophus bat shanbavirus
191025,Healthy,Manis javanica,Pangolin densovirus A1
191026,Healthy,Manis javanica,Pangolin circovirus A3
191026,Healthy,Manis javanica,Pangolin densovirus A1
191027,Healthy,Manis javanica,Pangolin pestivirus
191027,Healthy,Manis javanica,Pangolin densovirus A1
191028,Healthy,Manis javanica,Circovirus porcine1
191031,Healthy,Manis javanica,Pangolin circovirus B2
191037,Healthy,Manis javanica,Pangolin parvovirus
191038,Healthy,Manis javanica,Manis javanica papillomavirus 1
