"","Circovirus.porcine1","Pangolin.circovirus.A2","Pangolin.circovirus.A3","Pangolin.circovirus.B2","Pangolin.circovirus.B3","Pangolin.circovirus.T3","Circoviridae.sp","Fringilla.montifringilla.Circoviridae.sp","Manis.javanica.papillomavirus.1","Manis.pentadactyla.papillomavirus.1","Copiparvovirus.P171T","Pangolin.protoparvovirus","Densovirinae.sp","Pangolin.densovirus.A1","Pangolin.densovirus.T2","Pangolin.parvovirus","Pangolin.parvovirus.B1","Pangolin.pestivirus","Pangolin.pestivirus.T7","Pestivirus.P179T","Morbillivirus.canis","Hunnivirus.P236T","Pangolin.hunnivirus","Rhinolophus.bat.shanbavirus","Picornavirales.sp"
"Circovirus.porcine1",0,0.937855307961357,0.906320116051849,0.937855307961357,0.851157663374314,0.855701852392822,0.937855307961357,0.925755997344117,0.881908920457001,0.937855307961357,0.911141837090491,0.889017156738589,0.781454526102399,0.644965762633432,0.937855307961357,0.893763091853882,0.937855307961357,0.895073694075004,0.885035975106883,0.913757642758148,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357
"Pangolin.circovirus.A2",0.937855307961357,0,0.906320116051849,0.937855307961357,0.851157663374314,0.855701852392822,0.937855307961357,0.925755997344117,0.881908920457001,0.937855307961357,0.911141837090491,0.889017156738589,0.781454526102399,0.644965762633432,0.937855307961357,0.893763091853882,0.937855307961357,0.895073694075004,0.885035975106883,0.913757642758148,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357
"Pangolin.circovirus.A3",0.906320116051849,0.906320116051849,0,0.906320116051849,0.776991151985927,0.78370338139196,0.906320116051849,0.888142357560189,0.822579961574072,0.906320116051849,0.866230362141431,0.833168891982536,0.111165475664896,0.824063087233306,0.906320116051849,0.84024822048372,0.906320116051849,0.84220447599694,0.827236097490728,0.870148497790278,0.906320116051849,0.906320116051849,0.906320116051849,0.906320116051849,0.906320116051849
"Pangolin.circovirus.B2",0.937855307961357,0.937855307961357,0.906320116051849,0,0.851157663374314,0.855701852392822,0.937855307961357,0.925755997344117,0.881908920457001,0.937855307961357,0.911141837090491,0.889017156738589,0.781454526102399,0.644965762633432,0.937855307961357,0.893763091853882,0.937855307961357,0.895073694075004,0.885035975106883,0.913757642758148,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357
"Pangolin.circovirus.B3",0.851157663374314,0.851157663374314,0.776991151985927,0.851157663374314,0,0.000239473326185333,0.851157663374314,0.822542437901819,0.720672762847949,0.851157663374314,0.78823859592135,0.73695684462828,0.897530319286699,0.266723272144368,0.851157663374314,0.747883776634387,2.97727027607252e-08,0.750908695736155,0.72782408216589,0.794355698072719,0.851157663374314,0.851157663374314,0.851157663374314,0.851157663374314,0.851157663374314
"Pangolin.circovirus.T3",0.855701852392822,0.855701852392822,0.78370338139196,0.855701852392822,0.000239473326185333,0,0.855701852392822,0.827934478793209,0.7289539718698,0.855701852392822,0.794628630845803,0.744792610295636,0.517384143938754,0.559860762036613,0.855701852392822,0.755416729627772,0.855701852392822,0.758357289903194,0.735910554833431,0.800569407997056,0.855701852392822,0.855701852392822,0.855701852392822,0.855701852392822,0.855701852392822
"Circoviridae.sp",0.937855307961357,0.937855307961357,0.906320116051849,0.937855307961357,0.851157663374314,0.855701852392822,0,0.925755997344117,0.881908920457001,0.937855307961357,0.911141837090491,0.000687816843582495,0.781454526102399,0.644965762633432,0.937855307961357,2.34190988071645e-08,0.937855307961357,0.895073694075004,0.885035975106883,0.913757642758148,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357
"Fringilla.montifringilla.Circoviridae.sp",0.925755997344117,0.925755997344117,0.888142357560189,0.925755997344117,0.822542437901819,0.827934478793209,0.925755997344117,0,0.859075886377708,0.925755997344117,2.51953661299057e-102,3.99407034156677e-55,5.90900004781674e-14,0.581777179211865,0.925755997344117,0.873184337166626,0.925755997344117,0.874744934829578,0.862796363906306,0.897007685531064,0.925755997344117,4.01301644692677e-109,0.925755997344117,0.925755997344117,0.925755997344117
"Manis.javanica.papillomavirus.1",0.881908920457001,0.881908920457001,0.822579961574072,0.881908920457001,0.720672762847949,0.7289539718698,0.881908920457001,0.859075886377708,0,0.881908920457001,0.831610648073682,0.790317625839866,0.596989563404741,0.0939188460404294,0.881908920457001,0.799142857315786,0.881908920457001,0.801583254174185,0.782929302708916,1.11961101161632e-06,0.881908920457001,0.881908920457001,0.881908920457001,0.881908920457001,0.881908920457001
"Manis.pentadactyla.papillomavirus.1",0.937855307961357,0.937855307961357,0.906320116051849,0.937855307961357,0.851157663374314,0.855701852392822,0.937855307961357,0.925755997344117,0.881908920457001,0,0.911141837090491,0.889017156738589,0.781454526102399,0.000400054939211517,0.937855307961357,0.893763091853882,0.937855307961357,0.895073694075004,0.885035975106883,0.913757642758148,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357
