Event#,Sequence,Designation, ConsensusConsensus,Parsimony O,Conflict,SubPhPr,TreeSubDist,OuCheck,TreeSubPhPr,TreePhPr,PhPr,TrpScore,dMax(VisRD),DistRank,O:E,SubDist,Parsimony I,SetDistT,SetDistP,O:E Dist,
 1,MF926599.1_Dog,Recombinant, 21.4410778323621, 20, 10, 10, 10, 10, 8, 18, 8, 8, 11.7885567470186, 5.6989247311828, 4, 2, 20, 5, 0, 20,
 1,JN896331.1_dog,MajorParent, 3.33562406336242, 0, 0, 0, 5, 0, 4, 14, 0, 4, 4.3600203381722, 0, 0, 0, 0, 2.5, 0, 0,
 1,UN_MBA191024-Paramyxoviridae-1,MinorParent, 5.22329810427547, 20, 5, 5, 0, 0, 0, 0, 4, 0, 3.8514229148092, .21505376344086, 2, 1, 10, 0, 0, 15,
 2,MF926599.1_Dog,Recombinant, 16.9586298683113, 20, 1, 10, 0, 10, 0, 0, 8, 0, 9.97398407584567, 0, 4, 0, 20, 2.5, 0, 20,
 2,LC342298.1_Procyon_lotor,MajorParent, 5.80603957058243, 0, 1, 5, 0, 0, 0, 0, 4, 4, 5.09336110965779, 1.17021276595745, 2, 2, 0, 5, 5, 15,
 2,AY649446.1_,MinorParent, 7.23533056110622, 20, 1, 0, 0, 0, 0, 0, 0, 8, 4.93265481449654, 0, 0, 1, 20, 0, 0, 0,
 3,JX681125.1_fox,Recombinant, 21.7526101985118, 20, 10, 10, 10, 10, 8, 18, 8, 8, 11.7924737795772, 7.57894736842105, 4, 2, 20, 5, 0, 20,
 3,KJ466106.1_raccoon_dog,MajorParent, 4.32476426497046, 0, 0, 0, 5, 0, 4, 14, 0, 4, 4.1627096427441, 0, 0, 1, 0, 2.5, 0, 15,
 3,EU726268.1_mink,MinorParent, 3.92262553651774, 20, 5, 5, 0, 0, 0, 0, 4, 0, 4.04481657767867, 0, 2, 0, 10, 0, 0, 0,
 4,MT012803.1_dog,Recombinant, 19.860908977007, 20, 10, 10, 5, 0, 8, 18, 8, 8, 10.518680605125, 0, 2, 2, 20, 5, 0, 15,
 4,KJ747371.1_fox,MajorParent, 3.3002371912511, 0, 5, 5, 0, 0, 0, 14, 4, 4, 4.64752608682422, 0, 0, 1, 0, 2.5, 0, 0,
 4,AF164967.1_,MinorParent, 6.83885383174186, 10, 0, 0, 10, 10, 4, 0, 0, 0, 4.83379330805081, .105263157894737, 4, 0, 10, 0, 0, 20,
 5,AY445077.2_raccoon,Recombinant, 21.1354448852914, 20, 10, 10, 10, 10, 8, 18, 8, 8, 8.227932913645, 6.45833333333333, 4, 2, 20, 5, 0, 20,
 5,AY649446.1_,MajorParent, 3.37674440618992, 0, 0, 0, 5, 0, 0, 0, 0, 4, 6.83907233211254, 7.08333333333333, 0, 1, 0, 2.5, 0, 15,
 5,EU726268.1_mink,MinorParent, 5.48781070851867, 20, 5, 5, 0, 0, 4, 14, 4, 0, 4.93299475424246, 0, 2, 0, 10, 0, 0, 0,
 6,KJ994343.1_raccoon_dog,Recombinant, 21.2773726997633, 20, 10, 10, 10, 10, 8, 18, 8, 8, 8.42762073553605, 4.5360824742268, 4, 2, 20, 5, 5, 20,
 6,JN896331.1_dog,MajorParent, 2.08917163720943, 0, 0, 0, 5, 0, 0, 0, 0, 4, 5.68704484635807, 0, 0, 0, 0, 0, 0, 15,
 6,AF014953.1_,MinorParent, 6.6334556630273, 20, 5, 5, 0, 0, 4, 14, 4, 0, 5.88533441810588, 0, 2, 1, 10, 2.5, 5, 0,
 7,AB474397.1_,Recombinant, 14.8607027797627, 20, 5, 5, 10, 0, 8, 18, 4, 8, 7.31291701121884, 2.16494845360825, 2, 1, 20, 0, 0, 20,
 7,AB476403.1_dog,MajorParent, 12.5368701199222, 20, 10, 10, 0, 0, 4, 14, 8, 4, 6.83871007053099, 1.1340206185567, 0, 0, 20, 2.5, 0, 15,
 7,AY649446.1_,MinorParent, 2.60242710031504, 0, 0, 0, 5, 10, 0, 0, 0, 0, 5.84837291825018, 7.31958762886598, 4, 2, 0, 5, 0, 0,
 8,AB474397.1_,Recombinant, 17.3765714951149, 20, 10, 5, 10, 10, 8, 18, 4, 8, 8.8331531672744, 0, 4, 2, 20, 2.5, 5, 15,
 8,AB476403.1_dog,MajorParent, 11.1830702402985, 20, 10, 10, 0, 0, 4, 14, 8, 4, 6.14661333952676, 0, 0, 1, 20, 0, 0, 20,
 8,AY649446.1_,MinorParent, 1.44035826458664, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5.02023349319885, 1.04166666666667, 2, 0, 0, 5, 5, 0,
 9,MF926599.1_Dog,Recombinant, 20.2436435282319, 20, 10, 10, 10, 10, 8, 18, 8, 8, 9.21238769194, 4.16666666666667, 2, 1, 20, 5, 0, 15,
 9,EU726268.1_mink,MajorParent, 8.53655347268103, 20, 5, 5, 0, 0, 4, 14, 4, 4, 5.3736068688475, .104166666666667, 0, 2, 20, 2.5, 0, 20,
 9,KX347928.1_dog,MinorParent, 1.21980299908709, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5.4140054392125, 1.14583333333333, 4, 0, 0, 0, 0, 0,
 10,AY649446.1_,Recombinant, 14.7918477321452, 20, 10, 5, 10, 0, 8, 18, 0, 8, 7.38053335091937, 6.875, 0, 2, 20, 5, 5, 15,
 10,AY443350.1_raccoon,MajorParent, 13.9004974228205, 20, 10, 10, 5, 0, 4, 14, 8, 8, 6.73399566310641, 1.25, 4, 1, 20, 2.5, 0, 20,
 10,MT932504.1_Panthera_leo,MinorParent, 1.30765484503434, 0, 0, 0, 0, 10, 0, 0, 4, 0, 5.88547098597422, 0, 0, 0, 0, 0, 0, 0,
 11,AY649446.1_,Recombinant, 14.8443553907646, 20, 10, 5, 10, 0, 8, 18, 8, 8, 6.95230476333163, .520833333333333, 4, 1, 20, 2.5, 0, 20,
 11,AY443350.1_raccoon,MajorParent, 14.0179794491565, 20, 10, 10, 0, 10, 4, 14, 0, 4, 7.90766263775702, 3.95833333333333, 0, 2, 20, 5, 5, 15,
 11,AF164967.1_,MinorParent, 1.1376651600789, 0, 0, 0, 5, 0, 0, 0, 4, 0, 5.14003259891135, .208333333333333, 4, 0, 0, 0, 0, 0,
 12,MH349541.1_,Recombinant, 21.1928616991529, 20, 10, 5, 0, 10, 0, 0, 4, 8, 6.57467178962099, 2.47422680412371, 4, 2, 20, 5, 5, 20,
 12,AY386315.1_,MajorParent, .172299810085647, 0, 0, 10, 0, 0, 0, 0, 8, 4, 6.59410379404386, 0, 0, 0, 10, 2.5, 0, 0,
 12,MN267064.1_Caspian_seal,MinorParent, 8.63483849076144, 10, 5, 0, 0, 0, 0, 0, 0, 0, 6.83122441633515, 0, 2, 1, 0, 0, 0, 15,
 13,AY443350.1_raccoon,Recombinant, 19.5576341227927, 20, 5, 10, 5, 10, 8, 18, 8, 8, 8.08683184340339, 0, 2, 0, 20, 2.5, 0, 20,
 13,AF164967.1_,MajorParent, 4.37427499895019, 0, 0, 0, 10, 0, 4, 14, 0, 4, 6.23125790461135, 1.03092783505155, 0, 2, 0, 5, 5, 0,
 13,AY386315.1_,MinorParent, 6.06809087825706, 10, 10, 5, 0, 0, 0, 0, 4, 0, 5.68191025198526, 0, 4, 1, 20, 0, 0, 15,
 14,KJ123771.1_dog,Recombinant, 15.092585105908, 20, 10, 10, 10, 0, 8, 18, 0, 4, 7.79158244146556, 0, 0, 2, 20, 5, 0, 0,
 14,MT932504.1_Panthera_leo,MajorParent, 5.27255544604201, 0, 0, 0, 5, 0, 4, 14, 4, 8, 5.81624876797266, .625, 0, 1, 0, 2.5, 0, 20,
 14,AY649446.1_,MinorParent, 9.63485944804994, 20, 10, 5, 0, 10, 0, 0, 8, 0, 6.39216879056178, .833333333333333, 4, 0, 20, 0, 0, 15,
 15,KJ123771.1_dog,Recombinant, 14.7243786808099, 20, 10, 10, 10, 0, 8, 18, 4, 8, 6.9930747449037, 0, 2, 2, 20, 5, 5, 0,
 15,MT932506.1_Procyon_lotor,MajorParent, 3.59833235446029, 0, 0, 0, 5, 0, 4, 14, 0, 4, 5.5202939885391, 4.21052631578947, 0, 0, 0, 0, 0, 15,
 15,AY443350.1_raccoon,MinorParent, 11.6772889647298, 20, 10, 5, 0, 10, 0, 0, 8, 0, 7.4866312665572, 0, 4, 1, 20, 2.5, 5, 20,
 17,KJ994343.1_raccoon_dog,Recombinant, 17.0226608575429, 20, 10, 10, 5, 0, 4, 14, 8, 8, 7.10578741821254, 6, 4, 2, 20, 5, 5, 20,
 17,KX499865.1_Vulpes,MajorParent, 5.76968227836255, 10, 10, 0, 0, 5, 0, 0, 0, 4, 5.13904769925899, 0, 0, 0, 10, 2.5, 0, 15,
 17,MT149210.1_Paradoxuru_shermaphroditus,MinorParent, 7.20765686409458, 0, 0, 5, 10, 0, 8, 18, 4, 0, 7.75516488252847, 0, 2, 1, 0, 0, 0, 0,
 18,KJ994343.1_raccoon_dog,Recombinant, 14.9582162057151, 20, 10, 10, 0, 5, 8, 18, 8, 4, 8.23397014058098, .957446808510638, 4, 2, 20, 2.5, 5, 0,
 18,KP765763.1_fox,MajorParent, 7.9074142193991, 20, 0, 5, 5, 5, 0, 0, 0, 8, 5.65656560957885, 0, 4, 0, 20, 0, 0, 20,
